1723786192527|113|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|show full fields from crm_contract_template|show full fields from crm_contract_template
1723786275742|112|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select database() as databaseName|select database() as databaseName
1723786275859|104|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = ? and table_name = ? |select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = 'loctek_230217' and table_name = 'crm_contract_template' 
1723786275969|108|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|show full fields from crm_contract_template|show full fields from crm_contract_template
1723786345211|109|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select database() as databaseName|select database() as databaseName
1723786345323|98|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = ? and table_name = ? |select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = 'loctek_230217' and table_name = 'crm_contract_template' 
1723786345422|98|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|show full fields from crm_contract_template|show full fields from crm_contract_template
1723786690428|112|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select database() as databaseName|select database() as databaseName
1723786690538|100|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = ? and table_name = ? |select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = 'loctek_230217' and table_name = 'crm_contract_template' 
1723786690649|103|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|show full fields from crm_contract_template|show full fields from crm_contract_template
1723786951453|124|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select database() as databaseName|select database() as databaseName
1723786951569|109|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = ? and table_name = ? |select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = 'loctek_230217' and table_name = 'crm_contract_template' 
1723786951694|113|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|show full fields from crm_contract_template|show full fields from crm_contract_template
1723787071449|121|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select database() as databaseName|select database() as databaseName
1723787071575|112|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = ? and table_name = ? |select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = 'loctek_230217' and table_name = 'crm_contract_template' 
1723787071693|115|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|show full fields from crm_contract_template|show full fields from crm_contract_template
1723787148015|111|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select database() as databaseName|select database() as databaseName
1723787148129|101|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = ? and table_name = ? |select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = 'loctek_230217' and table_name = 'crm_contract_template' 
1723787148236|105|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|show full fields from crm_contract_template|show full fields from crm_contract_template
1723787315430|119|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select database() as databaseName|select database() as databaseName
1723787315557|113|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = ? and table_name = ? |select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = 'loctek_230217' and table_name = 'crm_contract_template' 
1723787315674|115|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|show full fields from crm_contract_template|show full fields from crm_contract_template
1723787384787|108|statement|connection 9|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select database() as databaseName|select database() as databaseName
